"Step","Group: 5m_vs_6m_QMIX - win_rate","Group: 5m_vs_6m_QMIX - win_rate__MIN","Group: 5m_vs_6m_QMIX - win_rate__MAX"
"0","0","0","0"
"10001","0","0","0"
"10014","0","0","0"
"10015","0","0","0"
"10016","0","0","0"
"10020","0","0","0"
"10024","0","0","0"
"20000","0","0","0"
"20002","0","0","0"
"20007","0","0","0"
"20008","0","0","0"
"20009","0","0","0"
"20013","0","0","0"
"30000","0","0","0"
"30003","0","0","0"
"30006","0","0","0"
"30007","0","0","0"
"30008","0","0","0"
"30020","0","0","0"
"40006","0","0","0"
"40009","0","0","0"
"40012","0","0","0"
"40013","0","0","0"
"40015","0","0","0"
"40042","0","0","0"
"50003","0","0","0"
"50004","0","0","0"
"50007","0","0","0"
"50014","0","0","0"
"50020","0","0","0"
"50034","0","0","0"
"60004","0","0","0"
"60008","0","0","0"
"60010","0","0","0"
"60017","0","0","0"
"60023","0","0","0"
"60064","0","0","0"
"70003","0","0","0"
"70015","0","0","0"
"70017","0","0","0"
"70022","0","0","0"
"70027","0","0","0"
"80003","0","0","0"
"80005","0","0","0"
"80006","0","0","0"
"80022","0","0","0"
"80038","0","0","0"
"80068","0","0","0"
"90007","0","0","0"
"90014","0","0","0"
"90038","0","0","0"
"90046","0","0","0"
"90050","0","0","0"
"90057","0","0","0"
"100003","0","0","0"
"100014","0.015625","0","0.03125"
"100015","0","0","0"
"100019","0","0","0"
"110002","0","0","0"
"110008","0","0","0"
"110009","0","0","0"
"110013","0","0","0"
"110015","0","0","0"
"110054","0","0","0"
"120000","0","0","0"
"120003","0","0","0"
"120014","0","0","0"
"120015","0","0","0"
"120017","0","0","0"
"120018","0","0","0"
"130001","0","0","0"
"130006","0","0","0"
"130014","0","0","0"
"130015","0","0","0"
"140001","0","0","0"
"140007","0","0","0"
"140011","0","0","0"
"140019","0","0","0"
"140054","0","0","0"
"150001","0","0","0"
"150002","0","0","0"
"150004","0","0","0"
"150012","0","0","0"
"150018","0","0","0"
"150021","0","0","0"
"160002","0","0","0"
"160004","0","0","0"
"160006","0","0","0"
"160007","0","0","0"
"160008","0","0","0"
"170004","0","0","0"
"170008","0","0","0"
"170011","0","0","0"
"170012","0","0","0"
"170019","0","0","0"
"180001","0","0","0"
"180005","0","0","0"
"180006","0","0","0"
"180009","0","0","0"
"180011","0","0","0"
"180012","0","0","0"
"190008","0","0","0"
"190010","0","0","0"
"190018","0","0","0"
"190021","0","0","0"
"200001","0","0","0"
"200002","0","0","0"
"200005","0","0","0"
"200012","0","0","0"
"200013","0","0","0"
"210001","0","0","0"
"210003","0","0","0"
"210005","0","0","0"
"210006","0","0","0"
"210015","0","0","0"
"210019","0","0","0"
"220002","0","0","0"
"220006","0","0","0"
"220009","0","0","0"
"220020","0","0","0"
"220022","0.015625","0","0.03125"
"230001","0","0","0"
"230004","0","0","0"
"230010","0","0","0"
"230013","0","0","0"
"230018","0.03125","0.03125","0.03125"
"240004","0","0","0"
"240005","0","0","0"
"240007","0","0","0"
"240017","0","0","0"
"240018","0","0","0"
"240020","0","0","0"
"250006","0","0","0"
"250010","0.03125","0.03125","0.03125"
"250012","0","0","0"
"250017","0","0","0"
"250019","0","0","0"
"250021","0","0","0"
"260000","0","0","0"
"260002","0","0","0"
"260006","0","0","0"
"260007","0","0","0"
"260011","0","0","0"
"260013","0","0","0"
"270003","0","0","0"
"270010","0","0","0"
"270013","0","0","0"
"270014","0.0625","0.0625","0.0625"
"270024","0","0","0"
"270058","0","0","0"
"280000","0.03125","0.03125","0.03125"
"280005","0.015625","0","0.03125"
"280008","0.0625","0.0625","0.0625"
"280013","0.03125","0.03125","0.03125"
"280015","0.03125","0.03125","0.03125"
"290011","0.125","0.125","0.125"
"290013","0.0625","0.0625","0.0625"
"290014","0","0","0"
"290016","0.015625","0","0.03125"
"300005","0","0","0"
"300006","0.09375","0.09375","0.09375"
"300010","0.0625","0.0625","0.0625"
"300011","0","0","0"
"300017","0","0","0"
"300019","0","0","0"
"310000","0.03125","0.03125","0.03125"
"310002","0.03125","0.03125","0.03125"
"310007","0","0","0"
"310012","0","0","0"
"310018","0","0","0"
"320000","0","0","0"
"320005","0","0","0"
"320016","0.015625","0","0.03125"
"320017","0.03125","0.03125","0.03125"
"320032","0","0","0"
"330000","0","0","0"
"330004","0","0","0"
"330006","0","0","0"
"330007","0","0","0"
"330022","0.0625","0.0625","0.0625"
"330027","0","0","0"
"340000","0","0","0"
"340010","0.09375","0.03125","0.15625"
"340013","0","0","0"
"340052","0","0","0"
"350009","0.046875","0","0.09375"
"350012","0","0","0"
"350019","0","0","0"
"350020","0","0","0"
"360000","0","0","0"
"360009","0","0","0"
"360016","0","0","0"
"360017","0.15625","0.15625","0.15625"
"360018","0.03125","0.03125","0.03125"
"360021","0.03125","0.03125","0.03125"
"370000","0.0625","0.0625","0.0625"
"370003","0","0","0"
"370011","0.046875","0","0.09375"
"370014","0","0","0"
"370018","0","0","0"
"380006","0","0","0"
"380009","0.03125","0.03125","0.03125"
"380012","0.09375","0.09375","0.09375"
"380019","0","0","0"
"390009","0.046875","0.03125","0.0625"
"390014","0","0","0"
"390023","0.0625","0","0.125"
"390055","0.03125","0.03125","0.03125"
"400004","0.03125","0.03125","0.03125"
"400008","0.0625","0.0625","0.0625"
"400011","0","0","0"
"400013","0.0625","0.0625","0.0625"
"400018","0.0625","0.0625","0.0625"
"400027","0.09375","0.09375","0.09375"
"410004","0","0","0"
"410008","0","0","0"
"410010","0.125","0.125","0.125"
"410013","0","0","0"
"410019","0.46875","0.46875","0.46875"
"410023","0","0","0"
"420002","0","0","0"
"420003","0.21875","0.21875","0.21875"
"420011","0.09375","0.09375","0.09375"
"420018","0","0","0"
"420021","0.03125","0.03125","0.03125"
"420033","0","0","0"
"430002","0.03125","0.03125","0.03125"
"430003","0.0625","0.0625","0.0625"
"430009","0.046875","0","0.09375"
"430011","0.03125","0.03125","0.03125"
"430019","0","0","0"
"440003","0.03125","0","0.0625"
"440005","0","0","0"
"440014","0","0","0"
"440016","0","0","0"
"440017","0.03125","0.03125","0.03125"
"450003","0","0","0"
"450006","0.25","0.25","0.25"
"450008","0.046875","0","0.09375"
"450011","0","0","0"
"450021","0","0","0"
"460001","0.21875","0.21875","0.21875"
"460002","0","0","0"
"460013","0.03125","0.03125","0.03125"
"460017","0","0","0"
"460019","0","0","0"
"470000","0.015625","0","0.03125"
"470001","0.15625","0.15625","0.15625"
"470008","0","0","0"
"470011","0","0","0"
"470015","0.1875","0.1875","0.1875"
"480000","0","0","0"
"480014","0","0","0"
"480018","0.015625","0","0.03125"
"480025","0.3125","0.3125","0.3125"
"480032","0","0","0"
"490002","0.09375","0.09375","0.09375"
"490006","0.28125","0.28125","0.28125"
"490012","0.078125","0.0625","0.09375"
"490013","0","0","0"
"490014","0.28125","0.28125","0.28125"
"500008","0.09375","0.09375","0.09375"
"500012","0","0","0"
"500015","0.1875","0.1875","0.1875"
"500016","0.09375","0.09375","0.09375"
"500028","0.03125","0.03125","0.03125"
"500047","0","0","0"
"510001","0.125","0.125","0.125"
"510013","0","0","0"
"510017","0.125","0.125","0.125"
"510025","0.03125","0.03125","0.03125"
"510026","0","0","0"
"510069","0","0","0"
"520004","0.15625","0.15625","0.15625"
"520019","0.0625","0.0625","0.0625"
"520021","0","0","0"
"520022","0","0","0"
"520027","0.21875","0.21875","0.21875"
"520053","0","0","0"
"530001","0.015625","0","0.03125"
"530010","0.125","0.125","0.125"
"530011","0","0","0"
"530012","0.0625","0.0625","0.0625"
"530049","0.0625","0.0625","0.0625"
"540000","0.15625","0","0.3125"
"540001","0","0","0"
"540015","0.40625","0.40625","0.40625"
"540019","0","0","0"
"550004","0","0","0"
"550007","0.15625","0.15625","0.15625"
"550015","0.28125","0.28125","0.28125"
"550018","0.1875","0.1875","0.1875"
"550027","0.03125","0.03125","0.03125"
"550034","0.03125","0.03125","0.03125"
"560002","0.03125","0.03125","0.03125"
"560004","0.25","0.25","0.25"
"560022","0.03125","0.03125","0.03125"
"560023","0","0","0"
"560025","0","0","0"
"560026","0.28125","0.28125","0.28125"
"570005","0.0625","0.0625","0.0625"
"570006","0","0","0"
"570013","0.15625","0.15625","0.15625"
"570021","0.21875","0.21875","0.21875"
"570025","0.03125","0.03125","0.03125"
"570041","0","0","0"
"580001","0.375","0.375","0.375"
"580009","0.015625","0","0.03125"
"580018","0.078125","0.0625","0.09375"
"580035","0","0","0"
"590005","0","0","0"
"590006","0.203125","0.0625","0.34375"
"590009","0.1875","0.1875","0.1875"
"590017","0.03125","0.03125","0.03125"
"590021","0.03125","0.03125","0.03125"
"600003","0.125","0.125","0.125"
"600018","0.1875","0.1875","0.1875"
"600020","0","0","0"
"600021","0","0","0"
"600050","0","0","0"
"600053","0","0","0"
"610004","0.03125","0.03125","0.03125"
"610008","0.0625","0.0625","0.0625"
"610018","0","0","0"
"610020","0.34375","0.34375","0.34375"
"610021","0.0625","0.0625","0.0625"
"620001","0.09375","0.09375","0.09375"
"620005","0.0625","0.0625","0.0625"
"620006","0.09375","0","0.1875"
"620016","0.0625","0.0625","0.0625"
"620021","0.03125","0.03125","0.03125"
"630009","0.03125","0.03125","0.03125"
"630013","0","0","0"
"630016","0.3125","0.3125","0.3125"
"630022","0","0","0"
"630024","0.03125","0.03125","0.03125"
"630028","0.125","0.125","0.125"
"640004","0","0","0"
"640007","0.03125","0.03125","0.03125"
"640009","0.0625","0.0625","0.0625"
"640012","0.4375","0.4375","0.4375"
"640018","0","0","0"
"640059","0.0625","0.0625","0.0625"
"650000","0.03125","0.03125","0.03125"
"650004","0","0","0"
"650006","0","0","0"
"650010","0.09375","0.09375","0.09375"
"650013","0.5","0.5","0.5"
"650020","0.1875","0.1875","0.1875"
"660002","0.0625","0.0625","0.0625"
"660003","0","0","0"
"660004","0.015625","0","0.03125"
"660006","0.03125","0.03125","0.03125"
"660020","0.34375","0.34375","0.34375"
"670007","0","0","0"
"670009","0.46875","0.46875","0.46875"
"670011","0","0","0"
"670022","0","0","0"
"670029","0","0","0"
"670043","0.03125","0.03125","0.03125"
"680000","0.03125","0.03125","0.03125"
"680006","0","0","0"
"680007","0.03125","0.03125","0.03125"
"680010","0.03125","0.03125","0.03125"
"680013","0.28125","0.28125","0.28125"
"680025","0","0","0"
"690001","0.125","0.125","0.125"
"690005","0.015625","0","0.03125"
"690007","0.09375","0.09375","0.09375"
"690014","0.03125","0.03125","0.03125"
"690024","0.375","0.375","0.375"
"700000","0.375","0.375","0.375"
"700005","0","0","0"
"700021","0","0","0"
"700023","0.125","0.125","0.125"
"700025","0.03125","0.03125","0.03125"
"700063","0.09375","0.09375","0.09375"
"710001","0","0","0"
"710008","0.0625","0.0625","0.0625"
"710012","0.46875","0.46875","0.46875"
"710015","0","0","0"
"710035","0","0","0"
"710047","0.0625","0.0625","0.0625"
"720006","0","0","0"
"720008","0","0","0"
"720014","0","0","0"
"720020","0","0","0"
"720021","0.0625","0.0625","0.0625"
"720026","0.3125","0.3125","0.3125"
"730003","0","0","0"
"730007","0.0625","0.0625","0.0625"
"730011","0.03125","0.03125","0.03125"
"730013","0","0","0"
"730018","0.28125","0.28125","0.28125"
"730019","0","0","0"
"740004","0.15625","0.15625","0.15625"
"740011","0.09375","0.09375","0.09375"
"740012","0","0","0"
"740014","0","0","0"
"740016","0","0","0"
"740022","0.3125","0.3125","0.3125"
"750007","0","0","0"
"750013","0.03125","0.03125","0.03125"
"750017","0.015625","0","0.03125"
"750019","0","0","0"
"750026","0.40625","0.40625","0.40625"
"760008","0","0","0"
"760015","0","0","0"
"760016","0","0","0"
"760019","0.03125","0.03125","0.03125"
"760029","0.21875","0.21875","0.21875"
"770000","0.0625","0.0625","0.0625"
"770003","0.1875","0.1875","0.1875"
"770007","0.03125","0.03125","0.03125"
"770015","0","0","0"
"770021","0","0","0"
"770043","0.03125","0.03125","0.03125"
"780002","0.0625","0","0.125"
"780005","0.0625","0.0625","0.0625"
"780016","0","0","0"
"780021","0.03125","0.03125","0.03125"
"780027","0.28125","0.28125","0.28125"
"790003","0","0","0"
"790006","0.15625","0.15625","0.15625"
"790009","0.09375","0.09375","0.09375"
"790016","0.03125","0.03125","0.03125"
"790020","0.1875","0.1875","0.1875"
"790050","0.0625","0.0625","0.0625"
"800001","0.09375","0.09375","0.09375"
"800006","0.21875","0.21875","0.21875"
"800021","0.03125","0.03125","0.03125"
"800024","0.125","0.125","0.125"
"800027","0.28125","0.28125","0.28125"
"800030","0","0","0"
"810001","0.21875","0.21875","0.21875"
"810003","0.09375","0.09375","0.09375"
"810015","0","0","0"
"810021","0.09375","0.09375","0.09375"
"810023","0.03125","0.03125","0.03125"
"810028","0.125","0.125","0.125"
"820004","0.25","0.25","0.25"
"820012","0.03125","0.03125","0.03125"
"820014","0.25","0.25","0.25"
"820016","0.15625","0.15625","0.15625"
"820030","0.25","0.25","0.25"
"820042","0.09375","0.09375","0.09375"
"830007","0.28125","0.28125","0.28125"
"830010","0.21875","0.21875","0.21875"
"830012","0.28125","0.28125","0.28125"
"830020","0.125","0.125","0.125"
"830022","0.0625","0.0625","0.0625"
"830038","0","0","0"
"840001","0.21875","0","0.4375"
"840002","0.0625","0.0625","0.0625"
"840007","0.0625","0.0625","0.0625"
"840012","0.125","0.125","0.125"
"840063","0","0","0"
"850000","0.0625","0.0625","0.0625"
"850007","0.03125","0.03125","0.03125"
"850022","0.09375","0.09375","0.09375"
"850023","0.15625","0.15625","0.15625"
"850043","0","0","0"
"850047","0","0","0"
"860005","0","0","0"
"860007","0.234375","0.1875","0.28125"
"860008","0.0625","0.0625","0.0625"
"860014","0.0625","0.0625","0.0625"
"860027","0.03125","0.03125","0.03125"
"870010","0.03125","0.03125","0.03125"
"870014","0.1875","0.1875","0.1875"
"870017","0.0625","0.0625","0.0625"
"870018","0","0","0"
"870024","0.1875","0.1875","0.1875"
"870049","0.09375","0.09375","0.09375"
"880014","0.09375","0.09375","0.09375"
"880020","0.0625","0.0625","0.0625"
"880021","0.3125","0.3125","0.3125"
"880024","0.1875","0.1875","0.1875"
"880026","0.078125","0","0.15625"
"890002","0.125","0.03125","0.21875"
"890007","0","0","0"
"890016","0.15625","0.15625","0.15625"
"890021","0.0625","0.0625","0.0625"
"890034","0.15625","0.15625","0.15625"
"900006","0.15625","0.15625","0.15625"
"900008","0.125","0.125","0.125"
"900012","0.28125","0.28125","0.28125"
"900022","0.09375","0.09375","0.09375"
"900023","0.125","0.125","0.125"
"900067","0","0","0"
"910001","0.1875","0.1875","0.1875"
"910003","0.125","0.125","0.125"
"910013","0.0625","0.0625","0.0625"
"910020","0.1875","0.1875","0.1875"
"910021","0.1875","0.1875","0.1875"
"910069","0.03125","0.03125","0.03125"
"920004","0.03125","0.03125","0.03125"
"920007","0.46875","0.46875","0.46875"
"920009","0.0625","0.0625","0.0625"
"920024","0.09375","0.09375","0.09375"
"920034","0.03125","0.03125","0.03125"
"920054","0","0","0"
"930002","0.3125","0.3125","0.3125"
"930005","0.09375","0.09375","0.09375"
"930009","0.046875","0.03125","0.0625"
"930019","0","0","0"
"930026","0","0","0"
"940007","0.03125","0.03125","0.03125"
"940021","0.0625","0.03125","0.09375"
"940024","0.125","0.125","0.125"
"940037","0.03125","0.03125","0.03125"
"940042","0.0625","0.0625","0.0625"
"950000","0","0","0"
"950001","0.15625","0.15625","0.15625"
"950005","0.09375","0.09375","0.09375"
"950013","0.21875","0.21875","0.21875"
"950023","0.1875","0.1875","0.1875"
"950032","0.15625","0.15625","0.15625"
"960002","0.03125","0.03125","0.03125"
"960003","0.109375","0.0625","0.15625"
"960006","0.25","0.25","0.25"
"960020","0.0625","0.0625","0.0625"
"960021","0.03125","0.03125","0.03125"
"970002","0.03125","0.03125","0.03125"
"970005","0","0","0"
"970008","0.3125","0.3125","0.3125"
"970010","0","0","0"
"970019","0.1875","0.1875","0.1875"
"970038","0.03125","0.03125","0.03125"
"980007","0.03125","0.03125","0.03125"
"980015","0.125","0.125","0.125"
"980016","0.21875","0.21875","0.21875"
"980019","0.03125","0.03125","0.03125"
"980057","0","0","0"
"980060","0.03125","0.03125","0.03125"
"990003","0.0625","0.0625","0.0625"
"990012","0.15625","0.15625","0.15625"
"990013","0.125","0.0625","0.1875"
"990014","0.15625","0.15625","0.15625"
"990043","0.125","0.125","0.125"
"1000001","0.09375","0.03125","0.15625"
"1000018","0.125","0.125","0.125"
"1000021","0.25","0.25","0.25"
"1000024","0.09375","0.09375","0.09375"
"1000032","0.0625","0.0625","0.0625"
"1010012","0.0625","0.0625","0.0625"
"1010014","0.3125","0.3125","0.3125"
"1010018","0.03125","0.03125","0.03125"
"1010021","0.09375","0.09375","0.09375"
"1010026","0.15625","0.15625","0.15625"
"1010060","0","0","0"
"1020010","0.25","0.25","0.25"
"1020013","0.03125","0.03125","0.03125"
"1020015","0","0","0"
"1020016","0.1875","0.1875","0.1875"
"1020023","0.125","0.125","0.125"
"1020025","0.09375","0.09375","0.09375"
"1030008","0.125","0.125","0.125"
"1030016","0.09375","0.09375","0.09375"
"1030017","0.03125","0.03125","0.03125"
"1030022","0.140625","0.125","0.15625"
"1030046","0","0","0"
"1040005","0.125","0.125","0.125"
"1040022","0.0625","0.0625","0.0625"
"1040024","0.15625","0.15625","0.15625"
"1040031","0.28125","0.28125","0.28125"
"1040044","0","0","0"
"1040057","0.125","0.125","0.125"
"1050000","0.15625","0.15625","0.15625"
"1050025","0.125","0.125","0.125"
"1050026","0.34375","0.34375","0.34375"
"1050029","0.0625","0.0625","0.0625"
"1050033","0.09375","0.09375","0.09375"
"1050049","0.09375","0.09375","0.09375"
"1060011","0.1875","0.0625","0.3125"
"1060022","0.1875","0.1875","0.1875"
"1060029","0","0","0"
"1060036","0.21875","0.21875","0.21875"
"1060060","0.09375","0.09375","0.09375"
"1070003","0.09375","0.09375","0.09375"
"1070021","0.0625","0.0625","0.0625"
"1070023","0.0625","0.0625","0.0625"
"1070035","0.21875","0.21875","0.21875"
"1070058","0.03125","0.03125","0.03125"
"1070068","0","0","0"
"1080003","0","0","0"
"1080009","0.09375","0.09375","0.09375"
"1080015","0.15625","0.15625","0.15625"
"1080020","0","0","0"
"1080022","0.25","0.25","0.25"
"1080028","0.15625","0.15625","0.15625"
"1090011","0.3125","0.3125","0.3125"
"1090013","0.1875","0.1875","0.1875"
"1090016","0.28125","0.28125","0.28125"
"1090044","0","0","0"
