"Step","Group: protoss_5_vs_5_ACORM - win_rate","Group: protoss_5_vs_5_ACORM - win_rate__MIN","Group: protoss_5_vs_5_ACORM - win_rate__MAX"
"0","0","0","0"
"10605","0.03125","0.03125","0.03125"
"10620","0.03125","0.03125","0.03125"
"10625","0","0","0"
"10634","0","0","0"
"10637","0","0","0"
"10639","0.03125","0.03125","0.03125"
"20641","0.125","0.125","0.125"
"20642","0.03125","0.03125","0.03125"
"20650","0.03125","0.03125","0.03125"
"20657","0.125","0.125","0.125"
"20662","0.1875","0.1875","0.1875"
"20697","0.0625","0.0625","0.0625"
"30607","0.09375","0.09375","0.09375"
"30612","0.109375","0.09375","0.125"
"30623","0.21875","0.21875","0.21875"
"30625","0.03125","0.03125","0.03125"
"30644","0.03125","0.03125","0.03125"
"40603","0.0625","0.0625","0.0625"
"40608","0.03125","0.03125","0.03125"
"40619","0","0","0"
"40627","0.09375","0.09375","0.09375"
"40633","0.09375","0.09375","0.09375"
"40645","0.125","0.125","0.125"
"50603","0.09375","0.09375","0.09375"
"50606","0.0625","0.0625","0.0625"
"50610","0.15625","0.15625","0.15625"
"50627","0.03125","0.03125","0.03125"
"50640","0.125","0.125","0.125"
"50644","0.0625","0.0625","0.0625"
"60605","0.0625","0.0625","0.0625"
"60610","0.15625","0.15625","0.15625"
"60612","0.03125","0.03125","0.03125"
"60624","0.125","0.125","0.125"
"60633","0.0625","0.0625","0.0625"
"60641","0.1875","0.1875","0.1875"
"70603","0.0625","0.0625","0.0625"
"70628","0.09375","0.09375","0.09375"
"70631","0.0625","0.0625","0.0625"
"70635","0.0625","0.0625","0.0625"
"70659","0.0625","0.0625","0.0625"
"70675","0.15625","0.15625","0.15625"
"80600","0.09375","0.09375","0.09375"
"80609","0.21875","0.21875","0.21875"
"80618","0.09375","0.09375","0.09375"
"80635","0.15625","0.15625","0.15625"
"80645","0.15625","0.15625","0.15625"
"80648","0.0625","0.0625","0.0625"
"90618","0.09375","0.09375","0.09375"
"90629","0.03125","0.03125","0.03125"
"90630","0.15625","0.15625","0.15625"
"90632","0","0","0"
"90633","0.125","0.125","0.125"
"90646","0.03125","0.03125","0.03125"
"100606","0","0","0"
"100623","0.046875","0","0.09375"
"100632","0.09375","0.09375","0.09375"
"100637","0.125","0.125","0.125"
"100645","0.15625","0.15625","0.15625"
"110605","0.28125","0.28125","0.28125"
"110610","0.03125","0.03125","0.03125"
"110613","0.21875","0.21875","0.21875"
"110626","0.0625","0.0625","0.0625"
"110632","0.0625","0.0625","0.0625"
"110641","0.0625","0.0625","0.0625"
"120602","0.0625","0.0625","0.0625"
"120614","0.125","0.125","0.125"
"120621","0.09375","0.09375","0.09375"
"120624","0.03125","0.03125","0.03125"
"120637","0.15625","0.15625","0.15625"
"120652","0.21875","0.21875","0.21875"
"130603","0.125","0.125","0.125"
"130613","0.15625","0.15625","0.15625"
"130625","0.125","0.125","0.125"
"130628","0.125","0.125","0.125"
"130660","0.03125","0.03125","0.03125"
"130670","0.125","0.125","0.125"
"140602","0.15625","0.15625","0.15625"
"140643","0.21875","0.21875","0.21875"
"140645","0.15625","0.15625","0.15625"
"140646","0.15625","0.15625","0.15625"
"140653","0.03125","0.03125","0.03125"
"140659","0.09375","0.09375","0.09375"
"150602","0.09375","0.09375","0.09375"
"150605","0.21875","0.21875","0.21875"
"150629","0.34375","0.34375","0.34375"
"150630","0.1875","0.1875","0.1875"
"150649","0.21875","0.21875","0.21875"
"150666","0.09375","0.09375","0.09375"
"160603","0.15625","0.15625","0.15625"
"160611","0.15625","0.15625","0.15625"
"160617","0.15625","0.15625","0.15625"
"160625","0.1875","0.1875","0.1875"
"160631","0.0625","0.0625","0.0625"
"160655","0.15625","0.15625","0.15625"
"170618","0.15625","0.15625","0.15625"
"170631","0.15625","0.15625","0.15625"
"170638","0.34375","0.34375","0.34375"
"170640","0.25","0.25","0.25"
"170651","0.1875","0.1875","0.1875"
"170658","0.09375","0.09375","0.09375"
"180622","0.28125","0.28125","0.28125"
"180627","0.09375","0","0.1875"
"180650","0.09375","0.09375","0.09375"
"180652","0.1875","0.1875","0.1875"
"180661","0.125","0.125","0.125"
"190621","0.34375","0.34375","0.34375"
"190627","0.28125","0.28125","0.28125"
"190631","0.1875","0.1875","0.1875"
"190650","0.0625","0.0625","0.0625"
"190652","0.25","0.25","0.25"
"190661","0.1875","0.1875","0.1875"
"200605","0.125","0.125","0.125"
"200611","0.15625","0.15625","0.15625"
"200621","0.3125","0.3125","0.3125"
"200634","0.3125","0.3125","0.3125"
"200639","0.3125","0.3125","0.3125"
"200646","0.1875","0.1875","0.1875"
"210607","0.09375","0.09375","0.09375"
"210612","0.34375","0.34375","0.34375"
"210627","0.15625","0.15625","0.15625"
"210641","0.25","0.25","0.25"
"210646","0.125","0.125","0.125"
"210654","0.1875","0.1875","0.1875"
"220606","0.1875","0.1875","0.1875"
"220611","0.25","0.25","0.25"
"220612","0.3125","0.3125","0.3125"
"220625","0.125","0.125","0.125"
"220626","0.21875","0.21875","0.21875"
"220651","0.21875","0.21875","0.21875"
"230615","0.375","0.375","0.375"
"230637","0.1875","0.1875","0.1875"
"230640","0.15625","0.15625","0.15625"
"230645","0.21875","0.21875","0.21875"
"230648","0.3125","0.3125","0.3125"
"230652","0.28125","0.28125","0.28125"
"240610","0.28125","0.28125","0.28125"
"240611","0.25","0.25","0.25"
"240627","0.1875","0.1875","0.1875"
"240633","0.28125","0.28125","0.28125"
"240646","0.3125","0.3125","0.3125"
"240655","0.125","0.125","0.125"
"250629","0.1875","0.1875","0.1875"
"250635","0.125","0.125","0.125"
"250647","0.1875","0.1875","0.1875"
"250653","0.25","0.25","0.25"
"250655","0.34375","0.34375","0.34375"
"250678","0.21875","0.21875","0.21875"
"260617","0.34375","0.34375","0.34375"
"260620","0.3125","0.3125","0.3125"
"260621","0.15625","0.15625","0.15625"
"260626","0.25","0.25","0.25"
"260631","0.1875","0.1875","0.1875"
"260633","0.3125","0.3125","0.3125"
"270605","0.15625","0.15625","0.15625"
"270609","0.21875","0.21875","0.21875"
"270612","0.34375","0.34375","0.34375"
"270614","0.09375","0.09375","0.09375"
"270642","0.15625","0.15625","0.15625"
"270647","0.15625","0.15625","0.15625"
"280607","0.15625","0.15625","0.15625"
"280630","0.0625","0.0625","0.0625"
"280632","0.25","0.25","0.25"
"280634","0.375","0.375","0.375"
"280652","0.28125","0.28125","0.28125"
"280665","0.3125","0.3125","0.3125"
"290604","0.15625","0.15625","0.15625"
"290605","0.21875","0.21875","0.21875"
"290608","0.21875","0.21875","0.21875"
"290627","0.28125","0.28125","0.28125"
"290628","0.21875","0.21875","0.21875"
"290629","0","0","0"
"300615","0.28125","0.28125","0.28125"
"300629","0.25","0.25","0.25"
"300645","0.40625","0.40625","0.40625"
"300648","0.375","0.375","0.375"
"300660","0.25","0.25","0.25"
"300667","0.34375","0.34375","0.34375"
"310624","0.25","0.25","0.25"
"310628","0.15625","0.15625","0.15625"
"310636","0.21875","0.21875","0.21875"
"310639","0.25","0.25","0.25"
"310642","0.3125","0.3125","0.3125"
"310649","0.1875","0.1875","0.1875"
"320606","0.296875","0.21875","0.375"
"320637","0.3125","0.3125","0.3125"
"320638","0.3125","0.3125","0.3125"
"320648","0.375","0.375","0.375"
"320658","0.125","0.125","0.125"
"330601","0.375","0.375","0.375"
"330611","0.375","0.375","0.375"
"330615","0.25","0.25","0.25"
"330618","0.34375","0.34375","0.34375"
"330631","0.25","0.25","0.25"
"330664","0.3125","0.3125","0.3125"
"340606","0.34375","0.34375","0.34375"
"340608","0.4375","0.4375","0.4375"
"340626","0.34375","0.34375","0.34375"
"340644","0.46875","0.46875","0.46875"
"340648","0.28125","0.28125","0.28125"
"340652","0.3125","0.3125","0.3125"
"350621","0.4375","0.4375","0.4375"
"350623","0.4375","0.4375","0.4375"
"350628","0.34375","0.34375","0.34375"
"350630","0.25","0.25","0.25"
"350650","0.25","0.25","0.25"
"350665","0.5625","0.5625","0.5625"
"360604","0.4375","0.4375","0.4375"
"360606","0.28125","0.25","0.3125"
"360626","0.375","0.375","0.375"
"360660","0.3125","0.3125","0.3125"
"360667","0.21875","0.21875","0.21875"
"370600","0.34375","0.34375","0.34375"
"370602","0.46875","0.46875","0.46875"
"370610","0.3125","0.3125","0.3125"
"370637","0.28125","0.28125","0.28125"
"370639","0.34375","0.34375","0.34375"
"370646","0.3125","0.3125","0.3125"
"380619","0.265625","0.25","0.28125"
"380624","0.1875","0.1875","0.1875"
"380626","0.15625","0.15625","0.15625"
"380630","0.40625","0.40625","0.40625"
"380636","0.3125","0.3125","0.3125"
"390605","0.3125","0.3125","0.3125"
"390620","0.46875","0.46875","0.46875"
"390625","0.25","0.25","0.25"
"390637","0.40625","0.40625","0.40625"
"390667","0.15625","0.15625","0.15625"
"390699","0.25","0.25","0.25"
"400619","0.34375","0.34375","0.34375"
"400637","0.375","0.375","0.375"
"400649","0.4375","0.4375","0.4375"
"400655","0.25","0.25","0.25"
"400657","0.4375","0.4375","0.4375"
"410603","0.375","0.375","0.375"
"410635","0.28125","0.28125","0.28125"
"410637","0.375","0.375","0.375"
"410644","0.40625","0.40625","0.40625"
"410657","0.28125","0.28125","0.28125"
"410659","0.375","0.375","0.375"
"420616","0.21875","0.21875","0.21875"
"420621","0.25","0.25","0.25"
"420623","0.3125","0.3125","0.3125"
"420627","0.375","0.375","0.375"
"420654","0.375","0.375","0.375"
"420670","0.21875","0.21875","0.21875"
"430604","0.34375","0.34375","0.34375"
"430605","0.5","0.5","0.5"
"430616","0.375","0.375","0.375"
"430630","0.40625","0.40625","0.40625"
"430649","0.53125","0.53125","0.53125"
"430650","0.375","0.375","0.375"
"440603","0.46875","0.46875","0.46875"
"440606","0.28125","0.28125","0.28125"
"440631","0.15625","0.15625","0.15625"
"440632","0.21875","0.21875","0.21875"
"440634","0.15625","0.15625","0.15625"
"440662","0.09375","0.09375","0.09375"
"450608","0.34375","0.34375","0.34375"
"450613","0.34375","0.34375","0.34375"
"450621","0.40625","0.40625","0.40625"
"450630","0.375","0.375","0.375"
"450654","0.4375","0.4375","0.4375"
"450688","0.3125","0.3125","0.3125"
"460601","0.375","0.375","0.375"
"460611","0.4375","0.4375","0.4375"
"460625","0.375","0.375","0.375"
"460634","0.1875","0.1875","0.1875"
"460653","0.21875","0.21875","0.21875"
"460664","0.53125","0.53125","0.53125"
"470603","0.375","0.375","0.375"
"470631","0.40625","0.40625","0.40625"
"470634","0.3125","0.3125","0.3125"
"470649","0.25","0.25","0.25"
"470663","0.4375","0.4375","0.4375"
"470666","0.375","0.375","0.375"
"480607","0.5","0.5","0.5"
"480616","0.21875","0.21875","0.21875"
"480627","0.375","0.375","0.375"
"480628","0.5","0.5","0.5"
"480632","0.4375","0.4375","0.4375"
"480646","0.46875","0.46875","0.46875"
"490612","0.28125","0.28125","0.28125"
"490618","0.28125","0.28125","0.28125"
"490631","0.28125","0.28125","0.28125"
"490643","0.5","0.5","0.5"
"490652","0.5625","0.5625","0.5625"
"490654","0.5625","0.5625","0.5625"
"500609","0.46875","0.46875","0.46875"
"500613","0.28125","0.28125","0.28125"
"500619","0.375","0.375","0.375"
"500624","0.34375","0.34375","0.34375"
"500634","0.4375","0.4375","0.4375"
"500635","0.375","0.375","0.375"
"510604","0.25","0.25","0.25"
"510627","0.4375","0.4375","0.4375"
"510648","0.59375","0.59375","0.59375"
"510658","0.40625","0.40625","0.40625"
"510675","0.46875","0.46875","0.46875"
"510704","0.28125","0.28125","0.28125"
"520610","0.40625","0.40625","0.40625"
"520611","0.375","0.375","0.375"
"520621","0.53125","0.53125","0.53125"
"520631","0.40625","0.40625","0.40625"
"520647","0.40625","0.40625","0.40625"
"520653","0.5","0.5","0.5"
"530618","0.46875","0.46875","0.46875"
"530625","0.375","0.375","0.375"
"530643","0.28125","0.28125","0.28125"
"530646","0.5","0.5","0.5"
"530657","0.46875","0.46875","0.46875"
"530658","0.375","0.375","0.375"
"540609","0.46875","0.46875","0.46875"
"540613","0.59375","0.59375","0.59375"
"540626","0.40625","0.40625","0.40625"
"540631","0.46875","0.46875","0.46875"
"540637","0.3125","0.3125","0.3125"
"540679","0.375","0.375","0.375"
"550601","0.5","0.5","0.5"
"550607","0.1875","0.1875","0.1875"
"550611","0.34375","0.34375","0.34375"
"550630","0.4375","0.4375","0.4375"
"550649","0.40625","0.40625","0.40625"
"550675","0.375","0.375","0.375"
"560607","0.34375","0.34375","0.34375"
"560610","0.34375","0.34375","0.34375"
"560615","0.40625","0.40625","0.40625"
"560619","0.625","0.625","0.625"
"560660","0.5625","0.5625","0.5625"
"560678","0.46875","0.46875","0.46875"
"570619","0.1875","0.1875","0.1875"
"570628","0.3125","0.3125","0.3125"
"570631","0.453125","0.40625","0.5"
"570636","0.46875","0.46875","0.46875"
"570652","0.34375","0.34375","0.34375"
"580603","0.40625","0.40625","0.40625"
"580610","0.28125","0.28125","0.28125"
"580616","0.375","0.375","0.375"
"580650","0.3125","0.3125","0.3125"
"580651","0.46875","0.46875","0.46875"
"580655","0.71875","0.71875","0.71875"
"590605","0.375","0.375","0.375"
"590625","0.453125","0.4375","0.46875"
"590641","0.34375","0.34375","0.34375"
"590645","0.5625","0.5625","0.5625"
"590677","0.5625","0.5625","0.5625"
"600605","0.59375","0.53125","0.65625"
"600606","0.4375","0.4375","0.4375"
"600610","0.46875","0.46875","0.46875"
"600624","0.25","0.25","0.25"
"600632","0.375","0.375","0.375"
"610617","0.3125","0.3125","0.3125"
"610646","0.53125","0.53125","0.53125"
"610647","0.25","0.25","0.25"
"610651","0.34375","0.34375","0.34375"
"610664","0.28125","0.28125","0.28125"
"610694","0.28125","0.28125","0.28125"
"620605","0.46875","0.46875","0.46875"
"620611","0.359375","0.28125","0.4375"
"620629","0.4375","0.4375","0.4375"
"620639","0.5","0.5","0.5"
"620645","0.40625","0.40625","0.40625"
"630627","0.53125","0.53125","0.53125"
"630632","0.28125","0.28125","0.28125"
"630643","0.53125","0.53125","0.53125"
"630646","0.46875","0.46875","0.46875"
"630652","0.53125","0.53125","0.53125"
"630662","0.5","0.5","0.5"
"640600","0.40625","0.40625","0.40625"
"640622","0.375","0.375","0.375"
"640623","0.625","0.625","0.625"
"640645","0.53125","0.53125","0.53125"
"640651","0.53125","0.5","0.5625"
"650606","0.4375","0.4375","0.4375"
"650607","0.25","0.25","0.25"
"650609","0.46875","0.46875","0.46875"
"650612","0.53125","0.53125","0.53125"
"650619","0.5","0.5","0.5"
"650620","0.65625","0.65625","0.65625"
"660614","0.21875","0.21875","0.21875"
"660624","0.375","0.375","0.375"
"660633","0.34375","0.34375","0.34375"
"660654","0.40625","0.40625","0.40625"
"660660","0.4375","0.4375","0.4375"
"660671","0.4375","0.4375","0.4375"
"670613","0.375","0.375","0.375"
"670625","0.5625","0.5625","0.5625"
"670635","0.46875","0.46875","0.46875"
"670646","0.28125","0.28125","0.28125"
"670647","0.5","0.5","0.5"
"670656","0.625","0.625","0.625"
"680605","0.28125","0.28125","0.28125"
"680609","0.4375","0.4375","0.4375"
"680613","0.4375","0.4375","0.4375"
"680616","0.5","0.5","0.5"
"680629","0.5625","0.5625","0.5625"
"680652","0.40625","0.40625","0.40625"
"690622","0.5625","0.5625","0.5625"
"690632","0.375","0.375","0.375"
"690639","0.375","0.375","0.375"
"690649","0.4375","0.4375","0.4375"
"690650","0.5","0.5","0.5"
"690666","0.40625","0.40625","0.40625"
"700611","0.5","0.5","0.5"
"700621","0.46875","0.46875","0.46875"
"700623","0.3125","0.3125","0.3125"
"700629","0.59375","0.59375","0.59375"
"700649","0.40625","0.40625","0.40625"
"700673","0.59375","0.59375","0.59375"
"710601","0.40625","0.40625","0.40625"
"710609","0.3125","0.3125","0.3125"
"710617","0.53125","0.53125","0.53125"
"710630","0.59375","0.59375","0.59375"
"710638","0.3125","0.3125","0.3125"
"710649","0.5625","0.5625","0.5625"
"720604","0.46875","0.46875","0.46875"
"720607","0.6875","0.6875","0.6875"
"720626","0.65625","0.65625","0.65625"
"720630","0.4375","0.4375","0.4375"
"720642","0.5","0.5","0.5"
"720647","0.3125","0.3125","0.3125"
"730600","0.5625","0.5625","0.5625"
"730606","0.46875","0.46875","0.46875"
"730623","0.5625","0.5625","0.5625"
"730626","0.25","0.25","0.25"
"730645","0.4375","0.4375","0.4375"
"730649","0.34375","0.34375","0.34375"
"740604","0.46875","0.46875","0.46875"
"740611","0.40625","0.40625","0.40625"
"740622","0.625","0.625","0.625"
"740632","0.3125","0.3125","0.3125"
"740649","0.375","0.375","0.375"
"740668","0.4375","0.4375","0.4375"
"750615","0.40625","0.40625","0.40625"
"750635","0.53125","0.53125","0.53125"
"750640","0.53125","0.53125","0.53125"
"750649","0.40625","0.40625","0.40625"
"750654","0.5","0.5","0.5"
"750663","0.375","0.375","0.375"
"760603","0.59375","0.59375","0.59375"
"760610","0.5","0.5","0.5"
"760624","0.5625","0.5625","0.5625"
"760627","0.625","0.625","0.625"
"760632","0.5625","0.5625","0.5625"
"760635","0.59375","0.59375","0.59375"
"770610","0.515625","0.4375","0.59375"
"770614","0.3125","0.3125","0.3125"
"770624","0.375","0.375","0.375"
"770638","0.4375","0.4375","0.4375"
"770657","0.4375","0.4375","0.4375"
"780611","0.484375","0.46875","0.5"
"780616","0.5","0.5","0.5"
"780638","0.65625","0.65625","0.65625"
"780642","0.40625","0.40625","0.40625"
"780663","0.40625","0.40625","0.40625"
"790603","0.53125","0.53125","0.53125"
"790604","0.40625","0.40625","0.40625"
"790626","0.40625","0.40625","0.40625"
"790631","0.5","0.5","0.5"
"790634","0.46875","0.46875","0.46875"
"790669","0.625","0.625","0.625"
"800623","0.53125","0.53125","0.53125"
"800627","0.5","0.5","0.5"
"800635","0.4375","0.4375","0.4375"
"800636","0.375","0.375","0.375"
"800639","0.3125","0.3125","0.3125"
"800673","0.5","0.5","0.5"
"810616","0.53125","0.53125","0.53125"
"810620","0.65625","0.65625","0.65625"
"810621","0.34375","0.34375","0.34375"
"810626","0.46875","0.46875","0.46875"
"810646","0.375","0.375","0.375"
"810662","0.375","0.375","0.375"
"820605","0.625","0.625","0.625"
"820620","0.4375","0.4375","0.4375"
"820631","0.34375","0.34375","0.34375"
"820652","0.40625","0.40625","0.40625"
"820659","0.53125","0.53125","0.53125"
"820668","0.46875","0.46875","0.46875"
"830600","0.375","0.375","0.375"
"830604","0.625","0.625","0.625"
"830608","0.5","0.5","0.5"
"830623","0.53125","0.53125","0.53125"
"830625","0.625","0.625","0.625"
"830656","0.5","0.5","0.5"
"840606","0.40625","0.40625","0.40625"
"840624","0.5","0.5","0.5"
"840648","0.40625","0.40625","0.40625"
"840652","0.46875","0.46875","0.46875"
"840654","0.625","0.625","0.625"
"840663","0.53125","0.53125","0.53125"
"850610","0.3125","0.3125","0.3125"
"850614","0.59375","0.59375","0.59375"
"850625","0.40625","0.40625","0.40625"
"850631","0.4375","0.4375","0.4375"
"850638","0.5","0.5","0.5"
"850652","0.59375","0.59375","0.59375"
"860616","0.78125","0.78125","0.78125"
"860636","0.40625","0.40625","0.40625"
"860642","0.59375","0.59375","0.59375"
"860644","0.625","0.625","0.625"
"860646","0.59375","0.59375","0.59375"
"860647","0.59375","0.59375","0.59375"
"870603","0.375","0.375","0.375"
"870639","0.40625","0.40625","0.40625"
"870640","0.4375","0.4375","0.4375"
"870642","0.46875","0.46875","0.46875"
"870643","0.65625","0.65625","0.65625"
"870659","0.46875","0.46875","0.46875"
"880602","0.4375","0.4375","0.4375"
"880604","0.46875","0.46875","0.46875"
"880607","0.59375","0.59375","0.59375"
"880616","0.4375","0.4375","0.4375"
"880620","0.53125","0.53125","0.53125"
"880642","0.46875","0.46875","0.46875"
"890601","0.46875","0.46875","0.46875"
"890611","0.28125","0.28125","0.28125"
"890616","0.53125","0.53125","0.53125"
"890623","0.625","0.625","0.625"
"890636","0.5","0.5","0.5"
"890676","0.3125","0.3125","0.3125"
"900609","0.4375","0.4375","0.4375"
"900618","0.53125","0.53125","0.53125"
"900631","0.46875","0.46875","0.46875"
"900632","0.59375","0.59375","0.59375"
"900642","0.46875","0.46875","0.46875"
"900653","0.75","0.75","0.75"
"910606","0.5","0.5","0.5"
"910613","0.5","0.5","0.5"
"910640","0.34375","0.34375","0.34375"
"910646","0.53125","0.53125","0.53125"
"910649","0.4375","0.4375","0.4375"
"910657","0.625","0.625","0.625"
"920604","0.6875","0.6875","0.6875"
"920623","0.53125","0.53125","0.53125"
"920624","0.59375","0.59375","0.59375"
"920625","0.53125","0.53125","0.53125"
"920627","0.53125","0.53125","0.53125"
"920628","0.46875","0.46875","0.46875"
"930603","0.40625","0.40625","0.40625"
"930604","0.65625","0.65625","0.65625"
"930610","0.375","0.375","0.375"
"930613","0.375","0.375","0.375"
